'bout,AW
'cause,AH
'course,AO
'cuse,UW
'em,AH
'frisco,IH^OW
'gain,EH
'kay,EY
'm,AH
'n,AH
'round,AW
'til,IH
'tis,IH
'twas,AH
a(0),AH
a(1),EY
a's,EY
a.,EY
a.'s,EY
a.s,EY
a42128,EY^AO^UW^AH^UW^EY
aaa,IH^AH^EY
aaberg,AA^ER
aachen,AA^AH
aachener,AA^AH^ER
aaker,AA^ER
aalseth,AA^EH
aamodt,AA^AH
aancor,AA^AO
aardema,AA^EH^AH
aardvark,AA^AA
aaron,EH^AH
aaron's,EH^AH
aarons,EH^AH
aaronson(0),EH^AH^AH
aaronson(1),AA^AH^AH
aaronson's(0),EH^AH^AH
aaronson's(1),AA^AH^AH
aarti,AA^IY
aase,AA
aasen,AA^AH
ab(0),AE
ab(1),EY^IY
ababa(0),AH^AA^AH
ababa(1),AA^AH^AH
abacha,AE^AH^AH
aback,AH^AE
abaco,AE^AH^OW
abacus,AE^AH^AH
abad,AH^AA
abadaka,AH^AE^AH^AH
abadi,AH^AE^IY
abadie,AH^AE^IY
abair,AH^EH
abalkin,AH^AA^IH
abalone,AE^AH^OW^IY
abalos,AA^AA^OW
abandon,AH^AE^AH
abandoned,AH^AE^AH
abandoning,AH^AE^AH^IH
abandonment,AH^AE^AH^AH
abandonments,AH^AE^AH^AH
abandons,AH^AE^AH
abanto,AH^AE^OW
abarca,AH^AA^AH
abare,AA^AA^IY
abascal,AE^AH^AH
abash,AH^AE
abashed,AH^AE
abasia,AH^EY^AH
abate,AH^EY
abated,AH^EY^IH
abatement,AH^EY^AH
abatements,AH^EY^AH
abates,AH^EY
abating,AH^EY^IH
abba,AE^AH
abbado,AH^AA^OW
abbas,AH^AA
abbasi,AA^AA^IY
abbate,AA^EY
abbatiello,AA^AA^IY^EH^OW
abbe(0),AE^IY
abbe(1),AE^EY
abbenhaus,AE^AH^AW
abbett,AH^EH
abbeville,AE^IH
abbey,AE^IY
abbey's,AE^IY
abbie,AE^IY
abbitt,AE^IH
abbot,AE^AH
abbotstown,AE^AH^AW
abbott,AE^AH
abbott's,AE^AH
abbottstown,AE^AH^AW
abboud(0),AH^UW
abboud(1),AH^AW
abbreviate,AH^IY^IY^EY
abbreviated(0),AH^IY^IY^EY^AH
abbreviated(1),AH^IY^IY^EY^IH
abbreviates,AH^IY^IY^EY
abbreviating,AH^IY^IY^EY^IH
abbreviation,AH^IY^IY^EY^AH
abbreviations,AH^IY^IY^EY^AH
abbruzzese,AA^UW^EY^IY
abbs,AE
abby,AE^IY
abco,AE^OW
abcotek,AE^OW^EH
abdalla,AE^AE^AH
abdallah,AE^AE^AH
abdel,AE^EH
abdella,AE^EH^AH
abdicate,AE^AH^EY
abdicated,AE^AH^EY^AH
abdicates,AE^AH^EY
abdicating,AE^IH^EY^IH
abdication,AE^IH^EY^AH
abdnor,AE^ER
abdo,AE^OW
abdollah,AE^AA^AH
abdomen(0),AE^OW^AH
abdomen(1),AE^AH^AH
abdominal(0),AE^AA^AH^AH
abdominal(1),AH^AA^AH^AH
abduct,AE^AH
abducted(0),AE^AH^IH
abducted(1),AH^AH^IH
abductee,AE^AH^IY
abductees,AE^AH^IY
abducting(0),AE^AH^IH
abducting(1),AH^AH^IH
abduction(0),AE^AH^AH
abduction(1),AH^AH^AH
abductions(0),AE^AH^AH
abductions(1),AH^AH^AH
abductor(0),AE^AH^ER
abductor(1),AH^AH^ER
abductors(0),AE^AH^ER
abductors(1),AH^AH^ER
abducts,AE^AH
abdul,AE^UW
abdulaziz,AE^UW^AH^IY
abdulla,AA^UW^AH
abdullah,AE^AH^AH
abe,EY
abed,AH^EH
abedi,AH^EH^IY
abee,AH^IY
abel,EY^AH
abela,AA^EH^AH
abelard,AE^IH^ER
abele,AH^EH
abeles(0),AH^EH
abeles(1),EY^AH^IY
abell,EY^AH
abella,AH^EH^AH
abeln,AE^IH
abelow,AE^AH^OW
abels,EY^AH
abelson,AE^IH^AH
abend(0),AE^EH
abend(1),AH^EH
abendroth,AE^IH^AO
aber,EY^ER
abercrombie,AE^ER^AA^IY
aberdeen,AE^ER^IY
aberford,EY^ER^ER
aberg,AE^ER
aberle(0),AE^ER^AH
aberle(1),AE^ER
abermin,AE^ER^IH
abernathy,AE^ER^AE^IY
abernethy,AE^ER^EH^IY
aberrant,AE^EH^AH
aberration,AE^ER^EY^AH
aberrational,AE^ER^EY^AH^AH
aberrations,AE^ER^EY^AH
abert,AE^ER
abet,AH^EH
abetted,AH^EH^IH
abetting,AH^EH^IH
abex,EY^EH
abeyance,AH^EY^AH
abeyta,AA^EY^AH
abhor,AE^AO
abhorred,AH^AO
abhorrence,AH^AO^AH
abhorrent,AE^AO^AH
abhors,AH^AO
abiam,EY^IY^AH
abiam's,EY^IY^AH
abid,EY^IH
abide,AH^AY
abided,AH^AY^IH
abides,AH^AY
abiding,AH^AY^IH
