the,
book,volume^record^record_book^script^playscript^ledger^leger^account_book^book_of_account^rule_book^Koran^Quran^al-Qur'an^Book^Bible^Christian_Bible^Good_Book^Holy_Scripture^Holy_Writ^Scripture^Word_of_God^Word^reserve^hold
of,
genesis,generation^Genesis^Book_of_Genesis
chapter,
1,one^I^ace^single^unity^i^ane
god,God^Supreme_Being^deity^divinity^immortal^idol^graven_image
createth,
heaven,Eden^paradise^nirvana^promised_land^Shangri-la^Heaven
and,
earth,Earth^world^globe^ground^land^dry_land^solid_ground^terra_firma^worldly_concern^earthly_concern
",",
all,wholly^entirely^completely^totally^altogether^whole
things,thing^matter^affair
therein,in_this^in_that
in,inch^indium^In^atomic_number_49^Indiana^Hoosier_State^IN^inwards^inward
six,6^VI^sixer^sise^Captain_Hicks^half_a_dozen^sextet^sestet^sextuplet^hexad^six-spot^vi^half_dozen^half-dozen
days,years^day^twenty-four_hours^twenty-four_hour_period^24-hour_interval^solar_day^mean_solar_day^daytime^daylight^sidereal_day^Day^Clarence_Day^Clarence_Shepard_Day_Jr.
.,
beginning,commencement^first^outset^get-go^start^kickoff^starting_time^showtime^offset^origin^root^rootage^source^get_down^begin^get^start_out^set_about^set_out^commence^lead_off
created,make^create^produce
was,Washington^Evergreen_State^WA^be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
void,nothingness^nullity^nihility^vacancy^emptiness^vacuum^invalidate^annul^quash^avoid^nullify^vitiate^evacuate^empty^null
empty,discharge^vacate^abandon^evacuate^void^hollow^vacuous^empty-bellied
darkness,dark^shadow^iniquity^wickedness^duskiness^swarthiness
upon,
face,human_face^expression^look^aspect^facial_expression^side^grimace^font^fount^typeface^case^boldness^nerve^brass^cheek^confront^face_up^front^present
deep,trench^oceanic_abyss^bass^rich^thick^cryptic^cryptical^inscrutable^mysterious^mystifying^abstruse^recondite^deeply^late
;,
spirit,tone^feel^feeling^flavor^flavour^look^smell^disembodied_spirit^emotional_state^intent^purport^liveliness^life^sprightliness^heart^spirit_up^inspirit
moved,travel^go^move^locomote^displace^proceed^be_active^act^affect^impress^strike^motivate^actuate^propel^prompt^incite^run^make_a_motion^affected^stirred^touched
over,complete^concluded^ended^all_over^terminated^o'er
waters,Waters^Ethel_Waters^amniotic_fluid^amnionic_fluid^water^H2O^body_of_water^water_system^water_supply^urine^piss^pee^piddle^weewee^irrigate
said,state^say^tell^allege^aver^suppose^read^order^enjoin^pronounce^articulate^enounce^sound_out^enunciate^aforesaid^aforementioned
:,
be,beryllium^Be^glucinium^atomic_number_4^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
light,visible_light^visible_radiation^light_source^luminosity^brightness^brightness_level^luminance^luminousness^illumination^lightness^lighting^sparkle^twinkle^spark^Inner_Light^Light^Light_Within^Christ_Within^lighter^igniter^ignitor^illume^illumine^light_up^illuminate^fire_up^alight^perch^ignite^fall^unhorse^dismount^get_off^get_down^light-colored^unaccented^weak^clean^clear^unclouded^lightsome^tripping^faint^swooning^light-headed^lightheaded^abstemious^scant^short^idle^lite^low-cal^calorie-free^wakeful^easy^loose^promiscuous^sluttish^wanton^lightly
made,make^do^get^create^induce^stimulate^cause^have^produce^draw^gain^take_in^clear^earn^realize^realise^pull_in^bring_in^form^constitute^reach^get_to^progress_to^construct^build^name^nominate^attain^hit^arrive_at^lay_down^establish^hold^throw^give^make_up^take^stool^defecate^shit^take_a_shit^take_a_crap^ca-ca^crap^work^cook^fix^ready^prepare^seduce^score^pretend^make_believe^urinate^piddle^puddle^micturate^piss^pee^pee-pee^make_water^relieve_oneself^take_a_leak^spend_a_penny^wee^wee-wee^pass_water
saw,proverb^adage^byword^power_saw^sawing_machine^see^understand^realize^realise^witness^find^visualize^visualise^envision^project^fancy^figure^picture^image^consider^reckon^view^regard^learn^hear^get_word^get_wind^pick_up^find_out^get_a_line^discover^watch^catch^take_in^meet^run_into^encounter^run_across^come_across^determine^check^ascertain^insure^see_to_it^ensure^control^assure^visit^attend^take_care^look^go_steady^go_out^date^examine^experience^go_through^escort^interpret^construe
that,
it,information_technology^IT
good,goodness^commodity^trade_good^full^estimable^honorable^respectable^beneficial^just^upright^adept^expert^practiced^proficient^skillful^skilful^dear^near^dependable^safe^secure^right^ripe^well^effective^in_effect^in_force^serious^sound^salutary^honest^undecomposed^unspoiled^unspoilt^thoroughly^soundly
he,helium^He^atomic_number_2
