,
the,
old,older^erstwhile^former^onetime^one-time^quondam^sometime^honest-to-god^honest-to-goodness^sure-enough^Old^previous
testament,will^Testament
genesis,generation^Genesis^Book_of_Genesis
in,inch^indium^In^atomic_number_49^Indiana^Hoosier_State^IN^inwards^inward
beginning,commencement^first^outset^get-go^start^kickoff^starting_time^showtime^offset^origin^root^rootage^source^get_down^begin^get^start_out^set_about^set_out^commence^lead_off
god,God^Supreme_Being^deity^divinity^immortal^idol^graven_image
created,make^create^produce
heavens,celestial_sphere^sphere^empyrean^firmament^vault_of_heaven^welkin^Eden^paradise^nirvana^heaven^promised_land^Shangri-la^Heaven
and,
earth,Earth^world^globe^ground^land^dry_land^solid_ground^terra_firma^worldly_concern^earthly_concern
.,
now,nowadays^today^at_present^immediately^instantly^straightaway^straight_off^directly^right_away^at_once^forthwith^like_a_shot
was,Washington^Evergreen_State^WA^be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
formless,amorphous^shapeless
empty,discharge^vacate^abandon^evacuate^void^hollow^vacuous^empty-bellied
darkness,dark^shadow^iniquity^wickedness^duskiness^swarthiness
on,along
surface,Earth's_surface^open^airfoil^aerofoil^control_surface^come_up^rise_up^rise^coat^come_on^come_out^turn_up^show_up
of,
deep,trench^oceanic_abyss^bass^rich^thick^cryptic^cryptical^inscrutable^mysterious^mystifying^abstruse^recondite^deeply^late
god's,
spirit,tone^feel^feeling^flavor^flavour^look^smell^disembodied_spirit^emotional_state^intent^purport^liveliness^life^sprightliness^heart^spirit_up^inspirit
hovering,hover^vibrate^vacillate^oscillate^linger^levitate^brood^loom^bulk_large
over,complete^concluded^ended^all_over^terminated^o'er
waters,Waters^Ethel_Waters^amniotic_fluid^amnionic_fluid^water^H2O^body_of_water^water_system^water_supply^urine^piss^pee^piddle^weewee^irrigate
said,state^say^tell^allege^aver^suppose^read^order^enjoin^pronounce^articulate^enounce^sound_out^enunciate^aforesaid^aforementioned
",",
"""",
let,Lashkar-e-Taiba^Lashkar-e-Toiba^Lashkar-e-Tayyiba^LET^Army_of_the_Pure^Army_of_the_Righteous^net_ball^allow^permit^countenance^get^have^lease^rent
there,at_that_place^in_that_location^in_that_respect^on_that_point^thither
