,in~the~beginning~god~created~the~heavens~and~the~earth~.~now~the~earth~was~formless~and~empty~.
birsha,",~king~of~gomorrah~,~shinab~,~king~of~admah~,~and~shemeber~,~king~of~zeboiim~,~and"
another,"child^seven^,^wife^well^.^man^son^dream^?^brother~instead^days^""^,^.^isaac^to^if^:^saying^?^he~of^;^,^come^and^they^sent^stay^me^you^""^behold^he^we^'~abel^and^,^her^they^didn't^them^with^.^afflict^it^told^behold^said^are^""^we^portions~,^again^sent^let's^name^argued^argue^away^me^""^my^happened^it^this^certainly^what^said^just^to~for^he^forth^make^was^over^,^.^it^daughters^to^the^dreamer^""^guilty^is^answered^them~cain^sent^the^bricks^keturah^that^and^""^happened^,^as^his^sun^comes^behold^concerning^this^from~killed^forth^dove^,^.^one^they^jacob^or^her^brothers^and^our^that^the^questions^before~him^the^;^and^she^also^.^departed^served^when^if^soul^,^come^i^brother^god^man~.^dove^and^burn^bore^he^from^seven^rachel^you^was^moon^now^have^,^has^asked^is~""^out^she^them^him^he^called^years^had^take^departing^said^and^therefore^heard^in^done^directly^there^but~there^of^didn't^thoroughly^zimran^called^it^in^for^borne^wives^(^,^eleven^that^to^concerning^any^benjamin's~was^the^return^.^,^its^rehoboth^peace^rachel^joseph^besides^for^""^stars^and^there^we^us^ourselves^way^portion~also^ship^to^""^jokshan^name^.^,^my^she^behold^bowed^let's^is^saw^?^we^was~born^.^him^they^,^sitnah^he^it^that^daughters^died^down^kill^grain^the^""^and^could^five~a^the^any^had^medan^.^said^happened^seemed^jacob^,^)^i^to^him^in^distress^they^concerning^know^times~son^dove^more^brick^,^he^the^to^said^no^have^me^egypt^of^came^our^that^as~to^came^.^for^midian^left^""^same^him^man^that^dreamed^and^his^relatives^he^much~seth^back^it^stone^,^that^for^day^but^laban^is^she^yet^""^cast^go^soul^jacob^would^as"
brother,"abel^,^?^of^.^a^nahor^and^came^is^jacob^esau^:^;^to^comes^with^down^also^benjamin^benjamin's^will~.^""^and^i^japheth^eshcol^aner^'^thousand^:^kemuel^his^with^her^out^saying^a^esau's^in^it^comforts^may^jacob's^that^jacob^should^to^from^two^meets^esau^let^deborah^conceal^our^the^here^me^you^dead^us^?^,^benjamin^of^down^whom^neck^be~abel^let's^killed^he^will^,^;^in^'^pieces^uz^the^concubine^her^his^mother^hairy^hands^from^deceit^""^himself^haran^god^and^jacob^kissed^that^you^not^hundred^ran^then^for^flesh^onan^thing^.^they^we^get^mother's^whom^with^us^greater~was^go^him^said^require^to^and^the^""^of^his^father^,^pitcher^name^.^'bring^man^happen^about^almighty^esau's^sheep^went^rachel^he^therefore^land^only^hand^female^which^jacob^rebekah's^their^blood^knew^that^brothers^send^shall^so^we^then^we'll^just^up^if^son^you^sought^sold^it^than~a^into^.^,^the^him^brother^these^integrity^abimelech^silver^firstborn^of^whose^on^was^they^his^me^so^hunting^and^words^you^stay^bless^mother^near^serve^that^goats^meet^said^nurse^substance^?^""^raise^he^she^had^;^one^be^will^saw^i^'^go^answered^judah^spoke^to^then^is^wept~keeper^the^yahweh^""^life^also^of^were^took^.^,^aram^name^her^laban^ate^hand^venison^and^he^has^when^by^with^you^rebekah's^me^seir^esau^asks^him^have^to^was^come^his^up^did^said^for^bound^your^will^shall^only^if^down^am^place^my^alone^we^egypt~of^field^said^i^were^aner^allies^my^sheep^behold^buz^,^was^shoulder^.^and^let^had^blessed^he^taken^you^esau^planning^him^now^lifted^son^for^but^:^twenty^be^his^died^too^brothers^seed^scarlet^words^distress^know^trade^is^you'll^israel^the^questions^to^return^bereaved^me^lord^will^servant^mouth~sheep^.^to^don't^man^children^;^of^heart^and^,^his^chesed^reumah^laban^drank^the^hold^am^him^also^away^will^a^esau^rolled^up^nothing^he^for^male^embraced^yours^household^great^listened^wouldn't^evil^""^thread^said^that^be^in^left^send^buy^israel^?^weep^see^go^now^benjamin~,^""^cain^know^.^born^and^abram^cattle^it^brother^the^ran^young^on^make^a^made^your^break^her^kill^few^saw^mother's^his^she^?^field^comes^i^goats^saying^him^for^let's^to^be^in^why^verified^you^our^asked^is^my^'we^of^down^don't^speaks^wept^seed~but^it^,^.^whoever^these^the^is^hazo^also^young^out^he^lady^esau's^me^smooth^savory^blessing^loose^elder^you^days^that^brother^stone^voice^ran^tell^of^to^fear^""^and^she^them^sell^him^his^have^let^words^soul^are^land^if^food^directly^there^man^children^face^:^father^be^on^will~cain^happened^""^am^sheds^the^were^when^innocence^male^for^kemuel^,^bore^lady^to^and^stay^heel^savory^man^said^food^.^son^fruitful^isaac^from^me^edom^meet^him^two^'whose^fell^jacob^was^;^sight^you^hand^lest^may^not^harm^with^why^concerning^any^father^this^entered^a^mother^no^grieved^his^become~was^when^where^i^man's^sons^allies^abram^of^servants^you^the^pildash^tebah^with^.^food^,^""^that^now^until^had^and^told^hundred^are^on^said^all^buried^dwell^to^midianites^made^perhaps^get^be^spies^'^happens^us^but^did^ourselves^way^may^your^into^father^;^more^we^neck^a~a^they^is^my^blood^of^heard^and^father^,^very^man^men^us^he^what^""^you^were^therefore^your^blessed^jacob^well's^wept^her^lest^ewes^his^who^below^together^the^onan^it^yahweh^harm^tested^won't^to^if^we^god^am^youngest^.^may^nor^multitude~tiller^were^abel^brother's^,^shem^abram^that^hands^female^covering^of^jidlaph^gaham^beautiful^who^a^was^if^are^brought^said^shall^told^multiply^jacob^went^mouth^.^father^will^commanded^and^he^?^neck^""^bethel^ishmaelites^knew^happened^breach^his^happen^brother^die^begged^but^it^him^we'll^you'll^treat^could^send^almighty^bereaved^god^room^an^'^not^us^angry~of^in^,^keeper^his^:^.^have^servants^aram^to^were^few^named^i^my^you^it^shake^fury^and^near^jacob^your^them^four^come^twenty^where^please^with^under^merchants^that^for^name^whether^us^happened^along^go^not^me^concerning^know^the^give^be^old^father^see^tell^kissed^nations~the^your^?^blood^elam^when^relative^i^,^and^tahash^look^with^days^jacob^may^father^really^to^""^his^rebekah^son^turns^sent^told^it^wages^hundred^rams^are^kissed^him^passed^he^yourself^was^there^you^as^down^send^so^our^that^boy^of^gracious^man^loves^happened^'you^yourselves^my^all^.~ground^field^brother^""^will^,^abram^was^done^and^eyes^chesed^bethuel^at^spring^him^.^eat^touches^my^his^isn't^yoke^away^that^watered^rachel^happened^be^saying^men^strike^you^no^oak^land^not^by^seed^he^killed^?^called^is^they^are^way^badly^relatives^with^mercy^the^whom^to^wept^when^man's^know^father~.^,^?^yahweh^be^asshur^heard^taken^this^gave^to^and^at^isaac^me^son^father^he^from^she^obey^;^you^away^rolled^the^that^with^thirty^going^""^of^let^wouldn't^went^him^zerah^shall^truth^did^we^honest^emptied^in^buy^would^before^men^there^face^brothers~as^that^""^said^shed^,^captive^.^them^all^hazo^maacah^a^it^and^least^was^?^esau^rightly^off^sent^my^until^may^to^the^flock^he^when^him^milk^if^put^their^our^be^in^also^therefore^so^wouldn't^men^which^you^we'll^telling^saying^say^took^spoke^'^came^blessed"
madai,",~javan~,~tubal~,~meshech~,~and~tiras~.~the~sons~of~gomer~:~ashkenaz~,~riphath~,"
badly,",~telling~the~man~that~you~had~another~brother~?~""~they~said~,~""~the~man~asked~directly"
fig,"leaves~together~,~and~made~themselves~aprons~.~they~heard~the~voice~of~yahweh~god~walking~in~the~garden"
hunt,"for~venison~,~and~to~bring~it~.~rebekah~spoke~to~jacob~her~son~,~saying~,~""~behold"
house,",^.^with^is^to^of^for^about^in^also^?^and^than^inside^;~to^he^great^three^my^or^and^those^stay^both^them^blindness^that^abimelech^who^us^these^then^bethuel^peace^of^jacob^?^aren't^but^i^his^""^until^after^joseph's^in^do^.^the^saying^for^with^pharaoh^when^all^joseph^only~the^dealt^plagues^hundred^heir^bought^he^all^circumcised^born^those^made^young^,^i^ruled^from^to^master's^words^room^will^put^your^this^told^""^we^why^served^father^went^said^they^shelah^many^master^over^sake^his^she^spoke^captain^indeed^according^bring^butcher^men^gave^bowed^whoever^heard^ruler^were^their^lived~land^well^because^and^.^with^who^the^in^bought^night^them^both^said^over^lodge^relatives^for^unloaded^my^you^mother's^is^that^laban^he^accounted^have^shelters^away^to^,^days^all^;^field^has^neither^work^caught^of^""^name^an^were^spoke^themselves^was^will^money^saying^elders^his^little^one~that^with^of^eighteen^""^money^is^were^flesh^the^,^a^old^shut^small^to^all^land^in^.^rebekah^relatives^be^on^father^yahweh^you^said^by^fourteen^for^hamor^simeon^my^egyptian^he^and^put^has^him^them^why^i^your^men^animal^afraid^water^down^fill^still^joseph^joseph's^came^go^was^brothers^ones^hundred~i^abram^sarai^,^behold^from^bought^of^house^money^wash^feast^the^and^her^sarah^that^?^""^had^camels^clear^jacob^.^gate^will^these^him^stolen^years^his^jacob's^son^shua's^he^all^by^guard^do^was^word^into^oh^to^servants^there^said^brothers^up^land^ten~will^for^,^and^any^with^their^of^your^all^door^great^he^my^""^the^a^.^from^take^be^give^things^as^livestock^shechem^sons^levi^should^daughter^his^had^blessing^left^that^kept^there^saying^you^stolen^second^because^at^him^men's^it^to^land^have^egypt^spent^if^years~show^her^abram's^pursued^the^foreigner^your^his^foreskin^and^a^feet^.^,^'this^abraham's^had^birth^she^young^brother^""^he^take^my^heaven^me^what^foreigners^gods^came^is^master^put^of^all^back^were^garment^into^look^away^house^make^they^to^sacks^be^come^canaan^in^now^flocks~you^sake^wife^as^word^who^money^in^those^foreigner^,^baked^people^they^so^is^said^lady^the^gave^a^oath^younger^.^god^i^laban^shall^?^two^therefore^his^on^""^deal^grown^saw^into^that^yahweh^has^anything^none^out^and^my^he^ready^were^door^lord^washed^with^found^fell^brothers^egypt^speak^father's^joseph~.^far^of^is^,^;^the^bought^and^unleavened^from^struck^that^your^""^who^to^ran^man^straw^wife^son^will^said^i^for^daughters^you^with^up^his^yahweh^was^he^into^saying^behold^prison^sad^people^called^brought^money^their^earth^food^on^seventy^have^land^house^saw~i^he^pharaoh^as^yahweh^not^must^every^same^with^were^you^bread^the^they^kindness^please^spoke^him^,^his^came^and^for^when^.^there^jacob^then^surely^to^give^name^dead^have^our^;^of^hand^blessed^on^had^my^me^today^chief^be^ephraim^butcher^that^we^feet^let^""^hurry^it^come^found^all^their^ephraim's~will^had^called^dan^came^of^be^male^day^money^circumcised^,^quarter^men^wearied^which^visited^put^to^and^name^into^provender^my^you^she^from^rose^this^give^him^has^answered^troubled^sister^""^judah^was^.^the^all^in^hand^but^he^?^land^baker^ruled^:^an^joseph's^house^indeed^as^ground^i^pleased^egypt^favor^only^herds^children~make^sheep^abram^.^to^your^circumcised^among^,^of^with^rise^and^who^themselves^you^sarah^me^""^told^was^the^for^son^come^put^up^stone^?^sold^laban^six^as^it^egyptian's^that^joseph's^lie^has^place^animal^men^house^returned^came^he^asked^much^die^before^am^pharaoh^sent^in^their~of^,^and^he^him^seed^.^the^as^a^up^they^were^to^shall^hand^i^her^laban^house^daughters^early^tenth^surely^""^us^years^place^plundered^with^died^happened^brought^where^we^only^for^will^;^in^down^gave^them^joseph^go^well^judah^your^little~you^cattle^said^divided^,^.^my^men^god^foreigner^early^ate^called^at^find^show^he^under^and^am^mother's^camels^'^skins^of^in^which^to^jacob^""^for^is^gate^the^a^from^had^isn't^because^house^me^joseph^hebrews^dreamed^dine^our^their^they^!^up^before^tell^these^eyes^ones^left^third~a^,^himself^saying^he^covenant^of^had^yahweh^.^to^the^my^who^house^laban^and^i^relatives^you^are^said^because^your^called^city^make^prostitute^judah^joseph's^greater^inside^!^was^has^with^they^sacks^first^donkeys^their^can^we^joseph^does^him^men^in^generation~great^male^""^against^,^who^will^abraham's^said^were^appeared^and^but^lot^door^me^thigh^swore^daughter^about^ran^he^.^the^morning^have^my^has^i^flock^succoth^their^?^was^that^time^sake^in^didn't^are^hebrew^bound^him^dream^throne^made^ready^at^fodder^welfare^carry^also^his^to^land^please~nation^donkeys^what^them^""^is^be^house^to^circumcised^go^before^,^of^.^these^out^unloaded^water^if^kids^your^set^bone^also^was^city^because^odious^lest^comforted^yahweh^that^;^the^concern^this^his^she^he^here^in^i^me^at^oh^will^father^servants^joseph^'my^shepherds^speak^brothers^flocks^land~.^,^is^by^this^born^in^him^with^on^they^and^the^everywhere^i^me^bethuel^words^to^my^of^mother's^up^then^you^quite^afraid^jacob^god^he^made^house^himself^wife^caught^left^us^""^also^one^will^fruitful^for^noon^first^buy^be^them^still^brothers^canaan^children"
sacrifices,"to~the~god~of~his~father~,~isaac~.~god~spoke~to~israel~in~the~visions~of~the~night"
message,".^to~""^joseph~he^,~said^saying~,~""~speak^your~on^father~.^commanded~""^before~he~said^died~,~""^saying~i^,~am^'you~abraham's^shall~servant^tell~.^joseph"
