,[]
healthy,"['salubrious', 'good_for_you', 'intelligent', 'levelheaded', 'level-headed', 'sound', 'goodly', 'goodish', 'hefty', 'respectable', 'sizable', 'sizeable']"
stone,"['rock', 'gem', 'gemstone', 'pit', 'endocarp', 'Stone', 'Harlan_Stone', 'Harlan_F._Stone', 'Harlan_Fisk_Stone', 'Oliver_Stone', 'Lucy_Stone', 'I._F._Stone', 'Isidor_Feinstein_Stone', 'Harlan_Fiske_Stone', 'Edward_Durell_Stone']"
'jacob,[]
lord,"['Godhead', 'Lord', 'Creator', 'Maker', 'Divine', 'God_Almighty', 'Almighty', 'Jehovah', 'overlord', 'master', 'noble']"
bows,"['bow', 'bowknot', 'fore', 'prow', 'stem', 'arc', 'bowing', 'obeisance', 'curtain_call', 'bow_down', 'submit', 'defer', 'accede', 'give_in', 'crouch', 'stoop']"
anah,[]
stars,"['star', 'ace', 'adept', 'champion', 'sensation', 'maven', 'mavin', 'virtuoso', 'genius', 'hotshot', 'superstar', 'whiz', 'whizz', 'wizard', 'wiz', 'principal', 'lead', 'headliner', 'asterisk']"
elder,"['senior', 'elderberry_bush', 'older']"
'let,[]
stalk,"['chaff', 'husk', 'shuck', 'straw', 'stubble', 'stem', 'stalking', 'still_hunt', 'angry_walk']"
house,"['firm', 'business_firm', 'sign_of_the_zodiac', 'star_sign', 'sign', 'mansion', 'planetary_house', 'family', 'household', 'home', 'menage', 'theater', 'theatre', 'put_up']"
bears,"['bear', 'give_birth', 'deliver', 'birth', 'have', 'digest', 'endure', 'stick_out', 'stomach', 'stand', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up', 'turn_out', 'take_over', 'accept', 'assume', 'hold', 'carry', 'contain', 'yield', 'pay', 'wear', 'behave', 'acquit', 'deport', 'conduct', 'comport', 'have_a_bun_in_the_oven', 'gestate']"
timna,[]
mercy,['clemency']
woman,"['adult_female', 'charwoman', 'char', 'cleaning_woman', 'cleaning_lady', 'womanhood']"
encampments,"['campsite', 'campground', 'camping_site', 'camping_ground', 'bivouac', 'encampment', 'camping_area', 'camp', 'cantonment', 'camping', 'bivouacking']"
add,"['attention_deficit_disorder', 'ADD', 'attention_deficit_hyperactivity_disorder', 'ADHD', 'hyperkinetic_syndrome', 'minimal_brain_dysfunction', 'minimal_brain_damage', 'MBD', 'append', 'supply', 'lend', 'impart', 'bestow', 'contribute', 'bring', 'add_together', 'total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'tally']"
divines,"['Godhead', 'Lord', 'Creator', 'Maker', 'Divine', 'God_Almighty', 'Almighty', 'Jehovah', 'cleric', 'churchman', 'divine']"
enoch,[]
fifty,"['50', 'L', 'fifty_dollar_bill']"
deceived,"['deceive', 'lead_on', 'delude', 'cozen', 'betray']"
grave,"['tomb', 'grave_accent', 'sculpt', 'sculpture', 'scratch', 'engrave', 'inscribe', 'sedate', 'sober', 'solemn', 'dangerous', 'grievous', 'serious', 'severe', 'life-threatening', 'heavy']"
live,"['populate', 'dwell', 'inhabit', 'survive', 'last', 'live_on', 'go', 'endure', 'hold_up', 'hold_out', 'exist', 'subsist', 'be', 'know', 'experience', 'unrecorded', 'alive', 'bouncy', 'lively', 'resilient', 'springy']"
trembled,[]
strained,"['strive', 'reach', 'strain', 'try', 'stress', 'extend', 'sift', 'sieve', 'tense', 'tense_up', 'filter', 'filtrate', 'separate_out', 'filter_out', 'puree', 'deform', 'distort', 'labored', 'laboured', 'constrained', 'forced']"
peace,"['peacefulness', 'peace_of_mind', 'repose', 'serenity', 'heartsease', 'ataraxis', 'public_security', 'peace_treaty']"
plenty,"['plentifulness', 'plenteousness', 'plenitude', 'plentitude', 'batch', 'deal', 'flock', 'good_deal', 'great_deal', 'hatful', 'heap', 'lot', 'mass', 'mess', 'mickle', 'mint', 'mountain', 'muckle', 'passel', 'peck', 'pile', 'pot', 'quite_a_little', 'raft', 'sight', 'slew', 'spate', 'stack', 'tidy_sum', 'wad']"
night,"['nighttime', 'dark', 'Nox']"
border,"['boundary_line', 'borderline', 'delimitation', 'mete', 'margin', 'perimeter', 'edge', 'molding', 'moulding', 'surround', 'environ', 'ring', 'skirt', 'bound', 'frame', 'frame_in', 'adjoin', 'abut', 'march', 'butt', 'butt_against']"
quarrel,"['wrangle', 'row', 'words', 'run-in', 'dustup', 'dispute', 'scrap', 'argufy']"
believed,"['believe', 'think', 'consider', 'conceive']"
deeds,"['works', 'deed', 'deed_of_conveyance', 'title', 'act', 'human_action']"
front,"['front_end', 'forepart', 'battlefront', 'front_line', 'front_man', 'figurehead', 'nominal_head', 'straw_man', 'strawman', 'presence', 'movement', 'social_movement', 'look', 'face']"
withered,"['shrivel', 'shrivel_up', 'shrink', 'wither', 'fade', 'shriveled', 'shrivelled', 'shrunken', 'wizen', 'wizened', 'dried-up', 'sere']"
sit,"['sit_down', 'sit_around', 'model', 'pose', 'posture', 'ride', 'baby-sit']"
know,"['cognize', 'cognise', 'experience', 'live', 'acknowledge', 'recognize', 'recognise', 'sleep_together', 'roll_in_the_hay', 'love', 'make_out', 'make_love', 'sleep_with', 'get_laid', 'have_sex', 'do_it', 'be_intimate', 'have_intercourse', 'have_it_away', 'have_it_off', 'screw', 'fuck', 'jazz', 'eff', 'hump', 'lie_with', 'bed', 'have_a_go_at_it', 'bang', 'get_it_on']"
imagination,"['imaginativeness', 'vision', 'imaging', 'imagery', 'mental_imagery', 'resource']"
lud,[]
