,[]
hectors,"['Hector', 'strong-arm', 'bully', 'browbeat', 'bullyrag', 'ballyrag', 'boss_around', 'hector']"
argues,"['argue', 'reason', 'contend', 'debate', 'fence']"
wooed,"['woo', 'court', 'romance']"
excrements,"['body_waste', 'excretion', 'excreta', 'excrement']"
calpurnia's,[]
advised,"['rede', 'advise', 'counsel', 'notify', 'give_notice', 'send_word', 'apprise', 'apprize', 'propose', 'suggest']"
'school',[]
sandbag,"['dragoon', 'railroad']"
braved,"['weather', 'endure', 'brave']"
bass,"['bass_part', 'basso', 'sea_bass', 'freshwater_bass', 'bass_voice']"
secundo,[]
heap'd,[]
montgomery,"['Montgomery', 'L._M._Montgomery', 'Lucy_Maud_Montgomery', 'Bernard_Law_Montgomery', 'Sir_Bernard_Law_Montgomery', '1st_Viscount_Montgomery_of_Alamein']"
virtues',[]
modena,[]
amend,"['better', 'improve', 'ameliorate', 'meliorate', 'rectify', 'remediate', 'remedy']"
oppresseth,[]
'good,[]
judged,"['judge', 'evaluate', 'pass_judgment', 'estimate', 'gauge', 'approximate', 'guess', 'pronounce', 'label', 'adjudicate']"
bleed'st,[]
austerely,[]
crowded,"['herd', 'crowd', 'crowd_together']"
mariana's,[]
unseen,"['spiritual_world', 'spiritual_domain']"
plots,"['plot', 'secret_plan', 'game', 'plot_of_land', 'plot_of_ground', 'patch', 'diagram']"
indurance,[]
opportunities,['opportunity']
'rosalind',[]
'who,[]
wrested,[]
withal,"['however', 'nevertheless', 'still', 'yet', 'all_the_same', 'even_so', 'nonetheless']"
dinnertime,[]
pinfold,[]
tupping,[]
bays,"['bay', 'embayment', 'true_laurel', 'bay_laurel', 'bay_tree', 'Laurus_nobilis', 'alcove']"
lowly,"['humble', 'low', 'modest', 'small', 'junior-grade', 'lower-ranking', 'petty', 'secondary', 'subaltern', 'menial', 'base']"
respose,[]
buck's,[]
miss't,[]
lucy,[]
noses,"['nose', 'olfactory_organ', 'nozzle', 'intrude', 'horn_in', 'pry', 'poke', 'scent', 'wind']"
coystrill,[]
plessing,[]
abrupt,"['disconnected', 'precipitous']"
strange,"['unusual', 'unknown']"
