the,
project,undertaking^task^labor^projection^stick_out^protrude^jut_out^jut^plan^contrive^design^propose^visualize^visualise^envision^fancy^see^figure^picture^image^cast^throw^send_off^externalize^externalise
gutenberg,Gutenberg^Johann_Gutenberg^Johannes_Gutenberg
ebook,
of,
don,Don^preceptor^father^Don_River^wear^put_on^get_into^assume
quijote,
",",
by,past^aside^away
miguel,
de,Delaware^Diamond_State^First_State^DE
cervantes,Cervantes^Miguel_de_Cervantes^Cervantes_Saavedra^Miguel_de_Cervantes_Saavedra
saavedra,
this,
is,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
for,
use,usage^utilization^utilisation^employment^exercise^function^purpose^role^consumption^economic_consumption^usance^use_of_goods_and_services^habit^manipulation^enjoyment^utilize^utilise^apply^employ^habituate^expend^practice
anyone,
anywhere,anyplace
at,astatine^At^atomic_number_85
no,nobelium^No^atomic_number_102^no_more
cost,monetary_value^price^toll^be
and,
with,
almost,about^most^nearly^near^nigh^virtually^well-nigh
restrictions,restriction^limitation^confinement
whatsoever,any^whatever
.,
you,
may,May^whitethorn^English_hawthorn^Crataegus_laevigata^Crataegus_oxycantha
copy,transcript^written_matter^imitate^simulate^replicate^re-create
it,information_technology^IT
give,spring^springiness^yield^afford^pay^hold^throw^have^make^gift^present^devote^render^return^generate^impart^leave^pass_on^establish^sacrifice^pass^hand^reach^turn_over^dedicate^consecrate^commit^apply^grant^move_over^give_way^ease_up^feed^contribute^chip_in^kick_in^collapse^fall_in^cave_in^break^founder^open
away,outside^off^forth^out^aside^by
or,Oregon^Beaver_State^OR^operating_room^operating_theater^operating_theatre^surgery
re,rhenium^Re^atomic_number_75^Ra^ray
-,
under,nether^below
terms,footing^price^damage^term^condition^full_term^terminus^terminal_figure
license,licence^permit^permission^certify
included,include^admit^let_in
online,on-line
www,World_Wide_Web^WWW^web
net,internet^cyberspace^net_income^net_profit^lucre^profit^profits^earnings^network^mesh^meshing^meshwork^sack^sack_up^clear^web^nett^final^last
title,statute_title^rubric^championship^deed^deed_of_conveyance^title_of_respect^form_of_address^claim^entitle^style
:,
author,writer^generator^source
posting,poster^placard^notice^bill^card^mailing^post^station^send^place^carry^stake^put_up^mail^brand
date,day_of_the_month^escort^appointment^engagement^particular_date^date_stamp^go_steady^go_out^see
april,April^Apr
27,twenty-seven^XXVII^xxvii
2010,
[ebook,
#2000],
release,liberation^freeing^handout^press_release^dismissal^dismission^discharge^firing^sack^sacking^passing^loss^departure^exit^expiration^going^acquittance^button^outlet^vent^spill^spillage^waiver^tone_ending^let_go_of^let_go^relinquish^free^liberate^unloose^unloosen^loose^turn^publish^bring_out^put_out^issue^exhaust^expel^eject^secrete^resign^give_up^unblock^unfreeze
december,December^Dec
1999,
language,linguistic_communication^speech^speech_communication^spoken_communication^spoken_language^voice_communication^oral_communication^lyric^words^linguistic_process^terminology^nomenclature
spanish,Spanish^Spanish_people
character,fictional_character^fictitious_character^quality^lineament^fiber^fibre^role^theatrical_role^part^persona^eccentric^type^case^reference^character_reference^grapheme^graphic_symbol
set,exercise_set^stage_set^circle^band^lot^bent^hardening^solidifying^solidification^curing^Set^Seth^readiness^put^place^pose^position^lay^determine^specify^define^fix^limit^mark^prepare^set_up^ready^gear_up^localize^localise^go_down^go_under^arrange^plant^jell^congeal^typeset^countersink^sic^rig^lay_out^adjust^correct^fructify^dress^do^coif^coiffe^coiffure^fit^primed^fixed^rigid^located^placed^situated^laid^determined^dictated^hardened
encoding,encryption^encode
iso,
8859,
1,one^I^ace^single^unity^i^ane
***,
start,beginning^commencement^first^outset^get-go^kickoff^starting_time^showtime^offset^starting^startle^jump^starting_line^scratch^scratch_line^starting_signal^head_start^get_down^begin^get^start_out^set_about^set_out^commence^lead_off^depart^part^set_forth^set_off^take_off^originate^initiate^start_up^embark_on^go^get_going^take_up^protrude^pop^pop_out^bulge^bulge_out^bug_out^come_out
produced,produce^bring_forth^make^create^bring_about^give_rise^grow^raise^farm^bring_on^bring_out^develop^get^acquire
an,Associate_in_Nursing^AN
anonymous,anon.
volunteer,military_volunteer^voluntary^unpaid_worker^Tennessean^Volunteer^offer^unpaid
text,textual_matter^textbook^text_edition^schoolbook^school_text
file,data_file^single_file^Indian_file^file_cabinet^filing_cabinet^register^charge^lodge^file_away
corrections,department_of_corrections^correction^rectification^fudge_factor^chastening^chastisement^discipline
new,fresh^novel^raw^unexampled^newfangled^New^Modern^young^newly^freshly
html,hypertext_markup_language^hypertext_mark-up_language^HTML
joaquin,
cuenca,
abela,
el,elevation^EL^altitude^ALT^elevated_railway^elevated_railroad^elevated^overhead_railway
ingenioso,
hidalgo,
la,lanthanum^La^atomic_number_57^Louisiana^Pelican_State^LA^lah
mancha,
tasa,
yo,
juan,
gallo,
andrada,
escribano,
cámara,
del,
rey,
nuestro,
señor,
los,
que,
residen,
en,nut
su,
consejo,
certifico,
y,yttrium^Y^atomic_number_39^wye
doy,
fe,iron^Fe^atomic_number_26
habiendo,
visto,
por,
señores,
dél,
un,United_Nations^UN
libro,
intitulado,
compuesto,
tasaron,
cada,
pliego,
dicho,
a,angstrom^angstrom_unit^A^vitamin_A^antiophthalmic_factor^axerophthol^deoxyadenosine_monophosphate^adenine^ampere^amp^type_A^group_A
tres,
maravedís,
medio,
;,
cual,
tiene,
ochenta,
pliegos,
al,aluminum^aluminium^Al^atomic_number_13^Alabama^Heart_of_Dixie^Camellia_State^AL
precio,
monta,
docientos,
noventa,
se,selenium^Se^atomic_number_34^southeast^sou'-east^southeastward^SE
ha,hour_angle^HA
vender,seller^marketer^vendor^trafficker
papel,
dieron,
licencia,
para,parity^paratrooper^Para^Para_River^Belem^Feliz_Lusitania^Santa_Maria_de_Belem^St._Mary_of_Bethlehem
este,
pueda,
mandaron,
esta,
ponga,
principio,
sin,sinfulness^wickedness^sinning^sine^Sin^hell^transgress^trespass^drop_the_ball^blunder^boob^goof
ella,
dello,
conste,
di,
presente,
valladolid,
veinte,
días,
mes,Maine^Pine_Tree_State^ME
deciembre,
mil,mile^Swedish_mile^milliliter^millilitre^ml^cubic_centimeter^cubic_centimetre^cc
seiscientos,
cuatro,
años,
testimonio,
las,lanthanum^La^atomic_number_57^Louisiana^Pelican_State^LA^la^lah
erratas,
cosa,
digna,
corresponda,
original,master^master_copy^archetype^pilot
lo,
haber,Haber^Fritz_Haber
correcto,
fee,tip^bung
colegio,
madre,
dios,
teólogos,
universidad,
alcalá,
primero,
diciembre,
1604,
licenciado,
francisco,
murcia,
llana,
cuanto,
parte,
vos,
nos,no^nobelium^No^atomic_number_102
fue,
fecha,
relación,
habíades,
